name,gridid,tagLine,descriptionShort,sector,status_name,product_type,has_main_product,logo_url,Twitter handle,Twitter URL
Hivemapper,106,The World’s Freshest Map Data,Hivemapper is a decentralized mapping network that uses blockchain to reward contributors.,Data & Analytics,Active,DePin,Yes,https://img.thegrid.id/upload/f631b911687d0ede5c3ca753d01bf22d3852f6869e599be0e781e5f09ce63ce1.svg,@Hivemapper,https://x.com/Hivemapper
Grass,110,Earn A Stake In The AI Revolution. Get paid for your unused internet.,"Grass enables users to monetize unused internet bandwidth by sharing it with AI companies, earning rewards through a peer-to-peer network.",Data & Analytics,Active,Data,Yes,https://img.thegrid.id/upload/375c44306da5a2f70bef253c2fe41b28bf91cbe4b46ee0b201305620255e5502.svg,@getgrass_io,https://twitter.com/getgrass_io
Vybe Network,127,The leading API & analytics platform on Solana,"The Vybe API offers high-performance, specialized endpoints for DeFi, AI, and trading on Solana, enabling efficient project integration and access to comprehensive data.",Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/452a42e7640c982f43ffc0dfeb2d36751ef5d5d031e546df1a73c4d88888c550.svg,@Vybe_Network,https://twitter.com/Vybe_Network
SolanaFM,130,A friendly Solana explorer.,Solana.FM is a comprehensive explorer and analytics platform for the Solana blockchain.,Data & Analytics,Acquired,Block Explorer,Yes,https://img.thegrid.id/upload/cca9fb25c057cd52d3ca0bb694e88e46c33c122fde829102d90b713217c9c7d9.svg,@solanafm,https://x.com/solanafm
Solana Beach,131,Explore the Solana blockchain,Solana Beach is a network and block explorer for the Solana blockchain.,Data & Analytics,Active,Block Explorer,Yes,https://img.thegrid.id/upload/bde5fe416bd13c468f8e362c21601505fce0e88e9c0d44653f68c1323409c9a2.svg,@solanabeach_io,https://twitter.com/solanabeach_io
Birdeye,162,An on-chain crypto trading data aggregator.,Birdeye is a blockchain analytics platform that provides data insights for crypto projects and protocols.,Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/b499c3ed7ea75b6cff1a96aed1a0fe1391bd3bdce805730585eca17cfb98c2b7.svg,@birdeye_so,https://twitter.com/birdeye_so
Hello Moon,164,Infrastructure to build the future of Solana,On-chain Solana NFT & DeFi Insights,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/b39a40bcbafa771560623db4b4565cb7c5f4bb14c10c7b5e6861be92d0f47a4f.svg,@HelloMoon_io,https://twitter.com/HelloMoon_io
Step Finance,165,The Front Page of Solana,"Step Finance is a Solana-based platform offering portfolio tracking, DeFi analytics, and on-chain actions. It includes NFT insights, DAO, and ecosystem data tools.",Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/67894b33c5f9b271c6619ddbd8f4f51c0e346f30ee06ee29de881450231540de.svg,@StepFinance_,https://twitter.com/StepFinance_
SonarWatch,924,"Empowering your journey on Web3 with a powerful tracking tool, multichain and open-source.",Sonarwatch is a multichain dashboard for DeFi tracking and analytics.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/64d11fc87029503619a5d1d29f09fb1d846bd93fe35bfa4022ab0f99414a202c.svg,@Sonarwatch,https://twitter.com/Sonarwatch
Pyth Network,935,Smarter Data for Smarter Contracts,Pyth Network is a decentralized oracle that provides financial market data to blockchain applications.,Data & Analytics,Active,Oracle,Yes,https://img.thegrid.id/upload/510979b1e8232f0e1e707ed515c3abaf6db5ac2d5c5c325ea935612ce8dfe9b1.svg,@PythNetwork,https://x.com/PythNetwork
Chainalysis,1001,"Building trust in blockchains among people, businesses, and governments. ","Chainalysis is a blockchain analysis company that provides data, software, and services to investigate and prevent cryptocurrency-related fraud and money laundering.",Data & Analytics,Active,Onchain Compliance and investigations,Yes,https://img.thegrid.id/harvest/ed250e855f811d666c5fe7476cdadca3063ef6b9f9aa7aaad5123aaebbea317c.png,@Chainalysis,https://twitter.com/chainalysis
The Grid,1007,"Powering Discoverability of Assets, Products, and Services in Web3",The Grid is a data company that provides structured information about web3 projects to be used by other data companies. ,Data & Analytics,Active,Data,Yes,https://img.thegrid.id/upload/14e32a7f199cd38e02cdfb159e8359c723bbbe21cf13a8edd8987f75655240c7.svg,@TheGridData,https://x.com/TheGridData
Goldsky,1039,"Crypto data, live-streamed",Goldsky helps developers access and process blockchain data in real time through streaming infrastructure and customizable endpoints.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/harvest/59ae9c3a628de633ca78d8fab9dc7e0d553089e2ccb9c2f5e5855bc3000787ee.svg,@goldskyio,https://x.com/goldskyio
Cielo,1042,Discover the next big thing before it’s a big thing.,Discover the next big thing before it’s a big thing.,Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/1e893eb6e5d41b44ab49d8b6b70309bc862c4d915a07a3403e4b34311799e945.svg,@CieloFinance,https://x.com/CieloFinance
Reclaim Protocol,1216,Import user data from any website,A protocol for creating tamper-proof digital signatures of users' identity and reputation from any website.,Data & Analytics,Active,Decentralised Identity,Yes,https://img.thegrid.id/upload/a3eaa121a6523a11ae133922af98d3574a686c7dc28a20d13685d0fdb818194c.svg,@reclaimprotocol,https://twitter.com/reclaimprotocol
Moralis,1220,Enterprise-Grade Web3 APIs,Leading crypto data provider helping developers build user-friendly Web3 applications.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/f7e2d1dfd3a0545373f57184043c78b5b8ebe92971640c54f35a344ea8c8df5e.svg,@moralisdevs,https://x.com/moralisdevs
DEX Screener,1221,Realtime DEX analytics,"DEX Screener is a real-time analytics platform for decentralized exchanges, offering price tracking, charting, and customizable alerts across multiple blockchain networks and DEXs.",Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/6b0838897857262134f7a953b6665fd8848965c8275aac936e6a10e6f873bb57.png,@dexscreener,https://twitter.com/dexscreener
Tiny Astro,1246,Best-in-class NFT analytics & sniping platform,"NFT analytics platform with genesis PFP collection. Offers tools for discovery, analysis, and trading of NFT collections.",Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/e15514a8a7b5d9d34ebb9174236a9670c610a4d73ea122ca8ceed66f75b08e19.svg,@tinyastroNFT,https://twitter.com/tinyastroNFT
Allium,1278,"Accurate, Fast, Simple blockchain data",Allium empowers engineers and analysts with tools for realtime blockchain applications and data exploration.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/harvest/51c02767c64dccba7ab4ef05eeb5c5264e9eb98165a7bcdcee08e13464a7c6d1.png,@alliumlabs,https://x.com/alliumlabs
KairosTerminal,1281,Dominate Crypto Markets with Insider Level Insights,Intelligence layer between onchain and offchain data for DeFi markets.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/2d717a7f5b44444a7956710a428873651a6c1187f11d52c6944259f42885d1b9.svg,@kairosterminal,https://x.com/kairosterminal
Switchboard,1316,Plug into the On‑Chain Economy,"An open developer platform for permissionless, customizable onchain data feeds.",Data & Analytics,Active,Oracle,Yes,https://img.thegrid.id/upload/ad4df613d4e03d0b612e5028f6bc8cb54a02012a3932942d1738b8bbb2f1b507.svg,@switchboardxyz,https://x.com/switchboardxyz
Solana Compass,1320,"Info, guides and dashboards on the Solana ecosystem.",Solana Compass provides staking services and builds tools for the Solana ecosystem.,Data & Analytics,Active,Staking Data,Yes,https://img.thegrid.id/upload/16d5794c1f2e79a6a0a824f6826a7fb025e48b11e74d6d7e0e435abde4931ef6.png,@SolanaCompass,https://twitter.com/SolanaCompass
CoinGecko,1372,The world's largest independent crypto data aggregator.,"CoinGecko provides a fundamental analysis of the crypto market, offering price tracking and evaluation of digital currencies.",Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/9a192e18bdc71a097372f9e202c0378d8bbc5915cfa2637870951849af93591c.png,@coingecko,https://twitter.com/coingecko
Nansen,1381,See Forward,Nansen is a blockchain analytics platform for crypto traders and investors to discover opportunities and perform due diligence.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/148264d92467eb55a9403a7440142f15cc87d77111934fe9b48fc6944a1cd55d.svg,@nansen_ai,https://twitter.com/nansen_ai
Dune,1382,Crypto’s Data Platform,Dune is a community-powered crypto analytics platform providing insights through SQL queries and interactive dashboards.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/9edb146f35524dbc72dab43184bd0985e9cdc5eef95fd4c38d2a3b1eba940e9e.svg,@DuneAnalytics,https://twitter.com/DuneAnalytics
The Tie,1433,The Tie is the leading information services provider for digital assets.,Provider of institutional-grade crypto data and analytics tools.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/0eb97e5cb1c8aecf9a2eb6f4d1d41ff06aada5dc61ff5ca8642cec0ba9c9240f.svg,@thetieio,https://twitter.com/thetieio
YutiBot,1462,Trade Pump Fun Tokens Instantly,YutiBot helps traders with instant alerts and analysis to trade meme coins on Pump Fun more efficiently.,Data & Analytics,Active,Trading Bot,Yes,https://img.thegrid.id/upload/d1bdfbd465f59382611d3f93091c46fb7c885859fc97326a46223ac04fb0fe71.svg,@yutibot,https://x.com/yutibot
Don't Forget To Blink (DFTB),1475,The ultimate directory for discovering Solana blinks!,Directory for discovering Solana Blinks.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/9033a0a309684fe3c032e344473589eb39b0700232b3f67605cb22a64a88284f.png,@dftb_directory,https://x.com/dftb_directory
BlinkFans,1477,Public-good analytics platform for Blinks.,"A public good analytics platform for Solana Blinks, providing real-time data on officially registered Blinks.",Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/d0adeaae5606b47940133ffe21090c6ae5727aad9bfa108fb92d5155f84e9b08.png,@blinkfansxyz,https://x.com/blinkfansxyz
The Graph,1600,Access the world’s blockchain data,"The Graph is a decentralized protocol for indexing and querying blockchain data, enabling developers to retrieve information efficiently for decentralized applications.",Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/82b09581fe5ff521e42dc5009ab5d2ff4c25b91f68ee128c45ee1380037a729b.svg,@graphprotocol,https://x.com/graphprotocol
Google,1601,Our mission is to organize the world’s information and make it universally accessible and useful.,Google aims to organize the world's information and make it universally accessible and useful.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/ed16e88b25bc4ca874ce4e7e890c79c7dc706d1dc0301048355f9feaa91a06be.svg,@google,https://twitter.com/google
Flipside,1606,"Make Boards, Make Bank","Flipside offers blockchain data analytics, enabling users to create queries, dashboards, and insights from on-chain data across multiple blockchain networks.",Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/9728e480a8efa19e62a0bcef484c7bdd8582e221a2984bd393e5e2cd33ab3341.svg,@flipsidecrypto,https://twitter.com/flipsidecrypto
Token Terminal,1616,The leading blockchain data provider,Token Terminal is a full stack onchain data platform that standardizes financial and alternative data for blockchain and decentralized applications.,Data & Analytics,Active,Developer Tooling,Yes,https://img.thegrid.id/upload/c5c35926bd9536799336e8b87e87bf225e1b6f313577af21b02eb0f8a2300a36.svg,@tokenterminal,https://twitter.com/tokenterminal
Solstis,1649,Mobile-first dashboard for Solana,"Solstis provides real-time data analysis and insights for blockchain users and projects on Solana, enabling better decision-making and optimization.",Data & Analytics,Active,Block Explorer,Yes,https://img.thegrid.id/upload/e1f68c064a49650678d301bab7bb7aed4bebd7fcd52c0dc606d82e1135056ee5.png,@solstis_app,https://x.com/solstis_app
Cryptoslam,1650,The Information Economy of Web3,"CryptoSlam provides comprehensive data and analytics for tracking NFT sales, rankings, and trends across multiple blockchain networks.",Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/harvest/8df32aa35d3ca5851a864335b8b7c59d4ba20d33e5468e5fc0f4b98fbe91be19.png,@cryptoslamio,https://twitter.com/cryptoslamio
Synesis One,1672,Train AI. Earn crypto.,Decentralized crowdsourcing platform for AI training data that rewards contributors with cryptocurrency.,Data & Analytics,Active,Data,Yes,https://img.thegrid.id/upload/fb887e24e3b7eef5c5c1a90fee936f032c6283821a211350adfb529c9e3a6188.svg,@synesis_one,https://x.com/synesis_one
Solscan,1703,Explore Solana Blockchain,"Solscan is a blockchain explorer and analytics tool for the Solana network, offering users real-time data on transactions, accounts, tokens, and network activity.",Data & Analytics,Acquired,Block Explorer,Yes,https://img.thegrid.id/upload/b69e6b2f24893d074b22cccb4c51aeb01b237f9a7585abcbc6f04008fca9cb51.svg,@solscanofficial,https://twitter.com/solscanofficial
ClickHouse,1881,The real-time data warehouse for analytics,ClickHouse helps businesses analyze large datasets in real-time through a high-performance columnar database management system.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/8e1606d7dcbcd2dc6e517f6348b853b94ad72d7169ae59e87b93f65637e14146.png,@ClickhouseDB,https://x.com/ClickhouseDB
SolGlyph,1883,Real-Time Solana Tokens Tracking,SolGlyph helps you track and analyze cryptocurrency tokens in one place with real-time market data and detailed analytics.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/744c15e9bb54515eb75dc3e9f33fc2f9447bd5ac949b4706763f11525edd20c5.webp,@solglyph,https://x.com/solglyph
ZettaBlock,1884," A unified platform for open and trustfree AI development, empowering an accessible ecosystem of models and datasets.",ZettaBlock is a unified platform providing real-time blockchain data infrastructure and APIs across 12+ chains for Web3 application development,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/3814c72a2ca780f5a8c3d3273b8038d7741e62360aee72365a98f7e93d4514d7.svg,@ZettaBlockHQ,https://twitter.com/ZettaBlockHQ
SQD Network,1885,The Web3 Data Layer for Everyone,"SQD Network processes blockchain data across multiple networks, letting you access and index transaction information efficiently.",Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/083f675e52a6034787a323f73864fa88494ce48bb31568f137c49af3982b76ea.svg,@hellosqd,https://x.com/hellosqd
Chiyo,1886,Unlock Insights & Drive Growth for Your DApp.,Chiyo helps Web3 teams understand and grow their user base through analytics and insights on decentralized application usage.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/96c0549e5435b9e98915d4705fa35823eaa351ca92a5256f126edb94dfb8a89f.svg,@chiyoapp,https://x.com/chiyoapp
Defined (Codex),1888,The most accurate and reliable API for blockchain data,"Multi-chain DEX analytics platform providing real-time token discovery, trending pairs, and volume tracking.",Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/7c8d53b4ff0abcfd0f6260a107a419471be34871402288ba15ccbfd8dae1169c.svg,,
Bubblemaps,1894,"Take Up the Habit, Just Bubble it.",Bubblemaps helps users analyze blockchain data through colorful visualizations that make complex token and NFT relationships easy to understand.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/0fe184c9a32f0de4ff2c42a1921c004e2bb6004637d7821067027febf6d4f6b5.png,@bubblemaps,https://x.com/bubblemaps
Footprint Analytics,1895,Empower Decisions with Unified Web2 and Web3 Data,Footprint Analytics is a comprehensive blockchain data analytics platform that simplifies analysis and community management for sustainable growth in Web3,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/951e159f28a187e3afe0c7e4e34087591890dee6ce5a5e4a8b5723de5999054a.png,@Footprint_Data,https://twitter.com/Footprint_Data
HindSight VIP,1896,Blockchain data visualization made easy.,Hindsight helps users explore and analyze blockchain data through an accessible interface for better transaction insights.,Data & Analytics,Active,Block Explorer,Yes,https://img.thegrid.id/upload/d0be83f2d375718dc05384ec5c98714abeb3b0461f7bfc41e9c1a506c25ca2be.svg,@hindsight_vip,https://x.com/hindsight_vip
Bitquery,1901,Enterprise Grade Blockchain Data Products,Bitquery provides blockchain data access through APIs and cloud infrastructure for analyzing on-chain activity across multiple networks.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/4d511e4cd2ad747acfb7671c5c714aa78e85a6aef15500dbb6387acf36d0d829.png,@Bitquery_io,https://x.com/Bitquery_io
Vezgo,1903,The Fastest Way to Connect Digital Assets & Web3 Accounts to your Apps,API service that aggregates and normalizes crypto data from wallets and exchanges for financial institutions and fintech companies.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/fceed276f07fc9aabc6bd3b5031c2db48ff9ab59cade1f136c69379d7792e455.svg,@getvezgo,https://x.com/getvezgo
Itheum,1904,Data for the AI Era,"Itheum enables data ownership and trading through blockchain technology, focusing on personal and enterprise data tokenization.",Data & Analytics,Active,Data,Yes,https://img.thegrid.id/upload/fc12b61b3be6f7dc65a193fb6ef798be4ad829100d8d423494e3f56ea9d200ef.png,@itheum,https://x.com/itheum
CryptoRank,1907,Crypto Market Insights and Analytics,CryptoRank helps you track cryptocurrency prices and market data by aggregating information from multiple exchanges.,Data & Analytics,Active,Block Explorer,Yes,https://img.thegrid.id/upload/483a1c641a4fb8c74eed32e5265993f63834701ab7e0005375c74224edae7595.svg,@CryptoRank_io,https://x.com/CryptoRank_io
Elliptic,1909,Know exactly what happens on any blockchain,Elliptic helps businesses detect and prevent financial crime in crypto through blockchain analytics and compliance solutions.,Data & Analytics,Active,Onchain Compliance and investigations,Yes,https://img.thegrid.id/upload/fbdfd0942efe5b8396d2cc55557c0b5390e77235da3ecc6c314509fd4d140ffa.svg,@elliptic,https://x.com/elliptic
NFTScan,1912,The Largest NFT Data Infrastructure,"Multi-chain NFT data infrastructure providing comprehensive analytics, explorer services, and API solutions for Web3 developers and users.",Data & Analytics,Active,Block Explorer,Yes,https://img.thegrid.id/upload/ffbdf7a5dce4db2712123b0deb805cf4935579387a7a3d2a22ccafd257ee4904.svg,@nftscan_com,https://x.com/nftscan_com
SimpleHash,1913,Getting Token & NFT data is hard. SimpleHash makes it easy.,"SimpleHash helps developers access NFT and token data across 70+ blockchains through fast, reliable APIs and real-time market data.",Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/45b1dea0af011b49aec54cf1550dd3d651474895aeb443f532cffba78cb7ed1c.svg,@SimpleHashInc,https://x.com/SimpleHashInc
Unmarshal,1915,The easiest way to query Blockchain data from 45+ chains.,Decentralized network of blockchain data indexers and transformers providing multi-chain data querying capabilities.,Data & Analytics,Active,OnChain Data API,Yes,https://img.thegrid.id/upload/5b798c2cd3235146354dd99abb1f03436951acc4959f30a30be563bc0bf74d62.png,@UnmarshalAI,https://x.com/UnmarshalAI
Token Metrics,1919,Discover Hidden 100x Cryptocurrencies with Advanced AI Insights,Token Metrics is an AI-driven crypto research platform that analyzes crypto projects using machine learning to provide investment insights.,Data & Analytics,Active,Trading Terminal,Yes,https://img.thegrid.id/upload/51853ac9acd63362bf2b97e9e4765127bfb1c443662e5b784d4d863792d6b237.svg,@tokenmetricsinc,https://twitter.com/tokenmetricsinc
Messari,1920,Providing market intelligence to drive high-conviction participation in crypto.,"Messari helps investors and professionals discover, analyze, and participate in the crypto-asset ecosystem through data aggregation and research.",Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/abe6cbc8a4ab2e926cf422fd851cef054b672db8e44fe90c98b99dccacd67f58.svg,@MessariCrypto,https://x.com/MessariCrypto
Coin Metrics,1924,Crypto Intelligence for the Future of Finance,"Coin Metrics organizes and provides transparent access to crypto data through network analytics, market data feeds, and institutional-grade indexes.",Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/a5fcde88a32a3a4c1c6ba37c3073e7c571696334e89efcaf72aec47acedeb1c1.png,@coinmetrics,https://x.com/coinmetrics
Drops,1925,Check any crypto wallet for unclaimed airdrops.,Drops is an airdrop checker and tracker platform that monitors crypto wallet addresses for unclaimed airdrops across multiple networks.,Data & Analytics,Active,Block Explorer,Yes,https://img.thegrid.id/upload/cb77f51ff98f4333295280a7e8239d79dd30a3426e1e87c1f877cd1d84a108a6.png,@DropsBotHQ,https://x.com/DropsBotHQ
dEdge Solana Bot,1926,The Ultimate Degen Edge Tool for Solana Wallet Analysis,dEdge helps traders analyze Solana wallets and copy successful trading strategies through an integrated Telegram bot interface,Data & Analytics,Active,Block Explorer,Yes,https://img.thegrid.id/upload/1b892ac7c691dd2ddc458cfb4af7b7332fde9bfcc5e738923b56fa12ca59de4b.png,@dEdge_Solana,https://x.com/dEdge_Solana
DeFiLlama,1928,Your DeFi TVL aggregator,DeFiLlama is a DeFi TVL aggregator providing transparent and accurate data analytics.,Data & Analytics,Active,Data Terminal,Yes,https://img.thegrid.id/upload/c74dfe0e9f89ee4a65e07880e36e5135029b04d1b077620062c087825c4657cf.svg,@DefiLlama,https://x.com/DefiLlama
Umbrella Network,1943,A Better Oracle for a Better Web3,"Umbrella is a decentralized oracle service providing blockchain projects with secure, scalable, and customizable data solutions.",Data & Analytics,Active,Oracle,Yes,https://img.thegrid.id/upload/f55d102b45c0b86de81f397707a3dd6587a733e6206145b9fcd806e4afbc36e4.svg,@umbnetwork,https://x.com/umbnetwork
